,Code,Lat,Long,Feb
0,CA001012710,48.0,-123.0,-0.9
1,CA001012710,48.0,-123.0,0.41
2,CA001014820,49.0,-124.0,0.15
3,CA001014820,49.0,-124.0,0.97
4,CA001015630,49.0,-124.0,0.16
5,CA001015630,49.0,-124.0,1.31
6,CA001017099,49.0,-123.0,0.65
7,CA001017099,49.0,-123.0,1.62
8,CA001017101,49.0,-123.0,0.31
9,CA001017101,49.0,-123.0,1.25
10,CA001017254,48.0,-124.0,-1.21
11,CA001017254,48.0,-124.0,-0.16
12,CA001018598,48.0,-123.0,0.37
13,CA001018598,48.0,-123.0,0.95
14,CA001018611,48.0,-123.0,0.42
15,CA001018611,48.0,-123.0,1.01
16,CA001018621,49.0,-123.0,0.16
17,CA001018621,49.0,-123.0,1.09
18,CA001020590,49.0,-124.0,-0.32
19,CA001020590,49.0,-124.0,0.8
20,CA001020590,49.0,-124.0,1.63
21,CA001021261,50.0,-125.0,-3.26
22,CA001021830,50.0,-125.0,-0.93
23,CA001021830,50.0,-125.0,1.02
24,CA001021830,50.0,-125.0,1.33
25,CA001021988,50.0,-125.0,-0.52
26,CA001022689,49.0,-124.0,0.5
27,CA001022689,49.0,-124.0,1.25
28,CA001022795,50.0,-126.0,-1.8
29,CA001022795,50.0,-126.0,0.28
30,CA001026271,51.0,-127.0,-1.01
31,CA001026271,51.0,-127.0,0.64
32,CA001026562,49.0,-124.0,-0.71
33,CA001026562,49.0,-124.0,0.14
34,CA001030230,49.0,-125.0,-2.93
35,CA001032731,49.0,-127.0,-7.0
36,CA001032731,49.0,-127.0,-0.24
37,CA001035940,49.0,-125.0,-0.59
38,CA001036B06,49.0,-125.0,-0.75
39,CA001036B06,49.0,-125.0,0.42
40,CA001037090,51.0,-129.0,-1.04
41,CA001037090,51.0,-129.0,0.28
42,CA001037553,50.0,-128.0,-1.53
43,CA001037553,50.0,-128.0,0.02
44,CA001038332,49.0,-126.0,-3.16
45,CA001043152,49.0,-124.0,-0.72
46,CA0010459NN,49.0,-123.0,1.31
47,CA0010459NN,49.0,-123.0,1.64
48,CA001046332,50.0,-123.0,1.98
49,CA001046332,50.0,-123.0,4.34
50,CA001046392,50.0,-124.0,1.26
51,CA001046392,50.0,-124.0,1.27
52,CA001047172,49.0,-124.0,-0.61
53,CA001047172,49.0,-124.0,0.48
54,CA0010476F0,50.0,-123.0,-1.9
55,CA0010476F0,50.0,-123.0,0.42
56,CA001054222,53.0,-133.0,0.54
57,CA001054222,53.0,-133.0,2.02
58,CA001054500,54.0,-133.0,-4.62
59,CA001057052,53.0,-132.0,0.65
60,CA001057052,53.0,-132.0,0.86
61,CA001060815,52.0,-128.0,-2.18
62,CA001060815,52.0,-128.0,0.72
63,CA001060902,54.0,-131.0,-0.68
64,CA001060R0K,54.0,-131.0,0.33
65,CA001060R0K,54.0,-131.0,1.27
66,CA001061458,52.0,-127.0,-0.63
67,CA001061458,52.0,-127.0,1.03
68,CA001062251,53.0,-132.0,-2.36
69,CA001062251,53.0,-132.0,-0.06
70,CA001063303,55.0,-131.0,0.96
71,CA001063303,55.0,-131.0,1.01
72,CA001063461,51.0,-128.0,-1.18
73,CA001063461,51.0,-128.0,0.61
74,CA001063496,54.0,-130.0,-1.13
75,CA001063496,54.0,-130.0,0.95
76,CA001064020,54.0,-128.0,-2.3
77,CA001066482,54.0,-130.0,-1.22
78,CA001066482,54.0,-130.0,0.52
79,CA001068130,54.0,-129.0,0.68
80,CA001068130,54.0,-129.0,1.72
81,CA001077499,55.0,-127.0,-2.11
82,CA001077499,55.0,-127.0,0.78
83,CA001085836,54.0,-126.0,-2.83
84,CA001085836,54.0,-126.0,-0.33
85,CA001086082,50.0,-123.0,1.16
86,CA001086082,50.0,-123.0,1.29
87,CA001086558,52.0,-124.0,-2.32
88,CA001086558,52.0,-124.0,0.74
89,CA001088015,52.0,-124.0,-1.11
90,CA001088015,52.0,-124.0,0.72
91,CA001091174,54.0,-126.0,-2.97
92,CA001091174,54.0,-126.0,0.1
93,CA001092975,54.0,-124.0,-3.94
94,CA001092975,54.0,-124.0,0.72
95,CA001096453,54.0,-123.0,-3.05
96,CA001096453,54.0,-123.0,0.4
97,CA001096631,53.0,-123.0,-0.7
98,CA001096631,53.0,-123.0,1.15
99,CA001098941,52.0,-122.0,-2.35
100,CA001098941,52.0,-122.0,0.02
